,Unnamed: 0,time,Day,Hour,Price,ERR,Date
1753,1753,2022-04-28 06:00:12.719599,Thursday,06:00,7.0,,2022-04-28
1754,1754,2022-04-28 06:00:37.812994,Thursday,06:00,7.0,,2022-04-28
1755,1755,2022-04-28 06:01:02.911607,Thursday,06:01,7.0,,2022-04-28
1756,1756,2022-04-28 06:01:28.020633,Thursday,06:01,7.0,,2022-04-28
1757,1757,2022-04-28 06:01:53.146828,Thursday,06:01,7.0,,2022-04-28
1758,1758,2022-04-28 06:02:18.244837,Thursday,06:02,7.0,,2022-04-28
1759,1759,2022-04-28 06:02:43.353862,Thursday,06:02,7.0,,2022-04-28
1760,1760,2022-04-28 06:03:08.436860,Thursday,06:03,7.0,,2022-04-28
1761,1761,2022-04-28 06:03:33.530287,Thursday,06:03,7.0,,2022-04-28
1762,1762,2022-04-28 06:03:58.670559,Thursday,06:03,7.0,,2022-04-28
1763,1763,2022-04-28 06:04:23.794418,Thursday,06:04,7.0,,2022-04-28
1764,1764,2022-04-28 06:04:48.965910,Thursday,06:04,7.0,,2022-04-28
1765,1765,2022-04-28 06:05:14.114047,Thursday,06:05,7.0,,2022-04-28
1766,1766,2022-04-28 06:05:39.238626,Thursday,06:05,7.0,,2022-04-28
1767,1767,2022-04-28 06:06:04.337055,Thursday,06:06,7.0,,2022-04-28
1768,1768,2022-04-28 06:06:29.461635,Thursday,06:06,7.0,,2022-04-28
1769,1769,2022-04-28 06:06:54.570590,Thursday,06:06,7.0,,2022-04-28
1770,1770,2022-04-28 06:07:19.667560,Thursday,06:07,7.0,,2022-04-28
1771,1771,2022-04-28 06:07:44.776519,Thursday,06:07,7.0,,2022-04-28
1772,1772,2022-04-28 06:08:09.901829,Thursday,06:08,7.0,,2022-04-28
1773,1773,2022-04-28 06:08:35.010785,Thursday,06:08,7.0,,2022-04-28
1774,1774,2022-04-28 06:09:00.119740,Thursday,06:09,7.0,,2022-04-28
1775,1775,2022-04-28 06:09:25.216214,Thursday,06:09,7.0,,2022-04-28
1776,1776,2022-04-28 06:09:50.403260,Thursday,06:09,7.0,,2022-04-28
1777,1777,2022-04-28 06:10:15.513135,Thursday,06:10,7.0,,2022-04-28
1778,1778,2022-04-28 06:10:40.622023,Thursday,06:10,7.0,,2022-04-28
1779,1779,2022-04-28 06:11:05.704282,Thursday,06:11,7.0,,2022-04-28
1780,1780,2022-04-28 06:11:30.813170,Thursday,06:11,7.0,,2022-04-28
1781,1781,2022-04-28 06:11:55.922058,Thursday,06:11,7.0,,2022-04-28
1782,1782,2022-04-28 06:12:21.044648,Thursday,06:12,7.0,,2022-04-28
1783,1783,2022-04-28 06:12:46.169164,Thursday,06:12,7.0,,2022-04-28
1784,1784,2022-04-28 06:13:11.282195,Thursday,06:13,7.0,,2022-04-28
1785,1785,2022-04-28 06:13:36.406706,Thursday,06:13,7.0,,2022-04-28
1786,1786,2022-04-28 06:14:01.546875,Thursday,06:14,7.0,,2022-04-28
1787,1787,2022-04-28 06:14:26.640137,Thursday,06:14,7.0,,2022-04-28
1788,1788,2022-04-28 06:14:51.827085,Thursday,06:14,7.0,,2022-04-28
1789,1789,2022-04-28 06:15:16.938817,Thursday,06:15,7.0,,2022-04-28
1790,1790,2022-04-28 06:15:42.049866,Thursday,06:15,7.0,,2022-04-28
1791,1791,2022-04-28 06:16:07.132287,Thursday,06:16,7.0,,2022-04-28
1792,1792,2022-04-28 06:16:32.241112,Thursday,06:16,7.0,,2022-04-28
1793,1793,2022-04-28 06:16:57.365560,Thursday,06:16,7.0,,2022-04-28
1794,1794,2022-04-28 06:17:22.473062,Thursday,06:17,7.0,,2022-04-28
1795,1795,2022-04-28 06:17:47.597511,Thursday,06:17,7.0,,2022-04-28
1796,1796,2022-04-28 06:18:12.707762,Thursday,06:18,7.0,,2022-04-28
1797,1797,2022-04-28 06:18:37.800964,Thursday,06:18,7.0,,2022-04-28
1798,1798,2022-04-28 06:19:02.937362,Thursday,06:19,7.0,,2022-04-28
1799,1799,2022-04-28 06:19:28.030560,Thursday,06:19,7.0,,2022-04-28
1800,1800,2022-04-28 06:19:53.217467,Thursday,06:19,7.0,,2022-04-28
1801,1801,2022-04-28 06:20:18.335964,Thursday,06:20,7.0,,2022-04-28
1802,1802,2022-04-28 06:20:43.444724,Thursday,06:20,7.0,,2022-04-28
1803,1803,2022-04-28 06:21:08.541805,Thursday,06:21,7.0,,2022-04-28
1804,1804,2022-04-28 06:21:33.650563,Thursday,06:21,7.0,,2022-04-28
1805,1805,2022-04-28 06:21:58.774948,Thursday,06:21,7.0,,2022-04-28
1806,1806,2022-04-28 06:22:23.873517,Thursday,06:22,7.0,,2022-04-28
1807,1807,2022-04-28 06:22:48.982276,Thursday,06:22,7.0,,2022-04-28
1808,1808,2022-04-28 06:23:14.074725,Thursday,06:23,7.0,,2022-04-28
1809,1809,2022-04-28 06:23:39.183487,Thursday,06:23,7.0,,2022-04-28
1810,1810,2022-04-28 06:24:04.279967,Thursday,06:24,7.0,,2022-04-28
1811,1811,2022-04-28 06:24:29.373102,Thursday,06:24,7.0,,2022-04-28
1812,1812,2022-04-28 06:24:54.544320,Thursday,06:24,7.0,,2022-04-28
1813,1813,2022-04-28 06:25:19.681818,Thursday,06:25,7.0,,2022-04-28
1814,1814,2022-04-28 06:25:44.806141,Thursday,06:25,7.0,,2022-04-28
1815,1815,2022-04-28 06:26:09.899398,Thursday,06:26,7.0,,2022-04-28
1816,1816,2022-04-28 06:26:35.025968,Thursday,06:26,7.0,,2022-04-28
1817,1817,2022-04-28 06:27:00.134668,Thursday,06:27,7.0,,2022-04-28
1818,1818,2022-04-28 06:27:25.246470,Thursday,06:27,7.0,,2022-04-28
1819,1819,2022-04-28 06:27:50.370796,Thursday,06:27,7.0,,2022-04-28
1820,1820,2022-04-28 06:28:15.476137,Thursday,06:28,7.0,,2022-04-28
1821,1821,2022-04-28 06:28:40.569213,Thursday,06:28,7.0,,2022-04-28
1822,1822,2022-04-28 06:29:05.698607,Thursday,06:29,7.0,,2022-04-28
1823,1823,2022-04-28 06:29:30.807307,Thursday,06:29,7.0,,2022-04-28
1824,1824,2022-04-28 06:29:55.978435,Thursday,06:29,7.0,,2022-04-28
1825,1825,2022-04-28 06:30:21.085502,Thursday,06:30,7.0,,2022-04-28
1826,1826,2022-04-28 06:30:46.178518,Thursday,06:30,7.0,,2022-04-28
1827,1827,2022-04-28 06:31:11.303222,Thursday,06:31,7.0,,2022-04-28
1828,1828,2022-04-28 06:31:36.427488,Thursday,06:31,7.0,,2022-04-28
1829,1829,2022-04-28 06:32:01.507470,Thursday,06:32,7.0,,2022-04-28
1830,1830,2022-04-28 06:32:26.600496,Thursday,06:32,7.0,,2022-04-28
1831,1831,2022-04-28 06:32:51.740386,Thursday,06:32,7.0,,2022-04-28
1832,1832,2022-04-28 06:33:16.853507,Thursday,06:33,7.0,,2022-04-28
1833,1833,2022-04-28 06:33:41.977775,Thursday,06:33,7.0,,2022-04-28
1834,1834,2022-04-28 06:34:07.084251,Thursday,06:34,7.0,,2022-04-28
1835,1835,2022-04-28 06:34:32.177262,Thursday,06:34,7.0,,2022-04-28
1836,1836,2022-04-28 06:34:57.317114,Thursday,06:34,7.0,,2022-04-28
1837,1837,2022-04-28 06:35:22.414902,Thursday,06:35,7.0,,2022-04-28
1838,1838,2022-04-28 06:35:47.523487,Thursday,06:35,7.0,,2022-04-28
1839,1839,2022-04-28 06:36:12.618717,Thursday,06:36,7.0,,2022-04-28
1840,1840,2022-04-28 06:36:37.727300,Thursday,06:36,7.0,,2022-04-28
1841,1841,2022-04-28 06:37:02.839608,Thursday,06:37,7.0,,2022-04-28
1842,1842,2022-04-28 06:37:27.932570,Thursday,06:37,7.0,,2022-04-28
1843,1843,2022-04-28 06:37:53.041158,Thursday,06:37,7.0,,2022-04-28
1844,1844,2022-04-28 06:38:18.148921,Thursday,06:38,7.0,,2022-04-28
1845,1845,2022-04-28 06:38:43.241886,Thursday,06:38,7.0,,2022-04-28
1846,1846,2022-04-28 06:39:08.372113,Thursday,06:39,7.0,,2022-04-28
1847,1847,2022-04-28 06:39:33.465045,Thursday,06:39,7.0,,2022-04-28
1848,1848,2022-04-28 06:39:58.651742,Thursday,06:39,7.0,,2022-04-28
1849,1849,2022-04-28 06:40:23.759056,Thursday,06:40,7.0,,2022-04-28
1850,1850,2022-04-28 06:40:48.867591,Thursday,06:40,7.0,,2022-04-28
1851,1851,2022-04-28 06:41:13.980902,Thursday,06:41,11.0,,2022-04-28
1852,1852,2022-04-28 06:41:39.089436,Thursday,06:41,7.0,,2022-04-28
1853,1853,2022-04-28 06:42:04.201169,Thursday,06:42,7.0,,2022-04-28
1854,1854,2022-04-28 06:42:29.294077,Thursday,06:42,7.0,,2022-04-28
1855,1855,2022-04-28 06:42:54.402612,Thursday,06:42,7.0,,2022-04-28
1856,1856,2022-04-28 06:43:19.483788,Thursday,06:43,7.0,,2022-04-28
1857,1857,2022-04-28 06:43:44.592324,Thursday,06:43,7.0,,2022-04-28
1858,1858,2022-04-28 06:44:09.700617,Thursday,06:44,7.0,,2022-04-28
1859,1859,2022-04-28 06:44:34.793529,Thursday,06:44,7.0,,2022-04-28
1860,1860,2022-04-28 06:44:59.964512,Thursday,06:44,7.0,,2022-04-28
1861,1861,2022-04-28 06:45:25.076696,Thursday,06:45,7.0,,2022-04-28
1862,1862,2022-04-28 06:45:50.185469,Thursday,06:45,7.0,,2022-04-28
1863,1863,2022-04-28 06:46:15.319349,Thursday,06:46,7.0,,2022-04-28
1864,1864,2022-04-28 06:46:40.459080,Thursday,06:46,7.0,,2022-04-28
1865,1865,2022-04-28 06:47:05.583272,Thursday,06:47,7.0,,2022-04-28
1866,1866,2022-04-28 06:47:30.691752,Thursday,06:47,7.0,,2022-04-28
1867,1867,2022-04-28 06:47:55.800234,Thursday,06:47,7.0,,2022-04-28
1868,1868,2022-04-28 06:48:20.909158,Thursday,06:48,7.0,,2022-04-28
1869,1869,2022-04-28 06:48:46.048889,Thursday,06:48,7.0,,2022-04-28
1870,1870,2022-04-28 06:49:11.176822,Thursday,06:49,10.0,,2022-04-28
1871,1871,2022-04-28 06:49:36.285303,Thursday,06:49,10.0,,2022-04-28
1872,1872,2022-04-28 06:50:01.455478,Thursday,06:50,10.0,,2022-04-28
1873,1873,2022-04-28 06:50:26.563908,Thursday,06:50,14.0,,2022-04-28
1874,1874,2022-04-28 06:50:51.687964,Thursday,06:50,14.0,,2022-04-28
1875,1875,2022-04-28 06:51:16.769769,Thursday,06:51,14.0,,2022-04-28
1876,1876,2022-04-28 06:51:41.893794,Thursday,06:51,14.0,,2022-04-28
1877,1877,2022-04-28 06:52:06.965734,Thursday,06:52,14.0,,2022-04-28
1878,1878,2022-04-28 06:52:32.074165,Thursday,06:52,14.0,,2022-04-28
1879,1879,2022-04-28 06:52:57.182597,Thursday,06:52,14.0,,2022-04-28
1880,1880,2022-04-28 06:53:22.277457,Thursday,06:53,15.0,,2022-04-28
1881,1881,2022-04-28 06:53:47.401512,Thursday,06:53,15.0,,2022-04-28
1882,1882,2022-04-28 06:54:12.498519,Thursday,06:54,11.0,,2022-04-28
1883,1883,2022-04-28 06:54:37.591324,Thursday,06:54,11.0,,2022-04-28
1884,1884,2022-04-28 06:55:02.761340,Thursday,06:55,11.0,,2022-04-28
1885,1885,2022-04-28 06:55:27.869724,Thursday,06:55,7.0,,2022-04-28
1886,1886,2022-04-28 06:55:52.978109,Thursday,06:55,7.0,,2022-04-28
1887,1887,2022-04-28 06:56:18.097377,Thursday,06:56,7.0,,2022-04-28
1888,1888,2022-04-28 06:56:43.193575,Thursday,06:56,7.0,,2022-04-28
1889,1889,2022-04-28 06:57:08.310122,Thursday,06:57,7.0,,2022-04-28
1890,1890,2022-04-28 06:57:33.401837,Thursday,06:57,10.0,,2022-04-28
1891,1891,2022-04-28 06:57:58.510221,Thursday,06:57,10.0,,2022-04-28
1892,1892,2022-04-28 06:58:23.592409,Thursday,06:58,10.0,,2022-04-28
