,Unnamed: 0,time,Day,Hour,Price,ERR,Date
12061,12061,2022-05-01 06:00:22.488552,Sunday,06:00,7.0,,2022-05-01
12062,12062,2022-05-01 06:00:47.595817,Sunday,06:00,7.0,,2022-05-01
12063,12063,2022-05-01 06:01:12.856399,Sunday,06:01,7.0,,2022-05-01
12064,12064,2022-05-01 06:01:37.963666,Sunday,06:01,7.0,,2022-05-01
12065,12065,2022-05-01 06:02:03.057866,Sunday,06:02,7.0,,2022-05-01
12066,12066,2022-05-01 06:02:28.239965,Sunday,06:02,7.0,,2022-05-01
12067,12067,2022-05-01 06:02:53.378474,Sunday,06:02,7.0,,2022-05-01
12068,12068,2022-05-01 06:03:18.482114,Sunday,06:03,7.0,,2022-05-01
12069,12069,2022-05-01 06:03:43.667493,Sunday,06:03,7.0,,2022-05-01
12070,12070,2022-05-01 06:04:08.772445,Sunday,06:04,7.0,,2022-05-01
12071,12071,2022-05-01 06:04:33.879708,Sunday,06:04,7.0,,2022-05-01
12072,12072,2022-05-01 06:04:59.033841,Sunday,06:04,7.0,,2022-05-01
12073,12073,2022-05-01 06:05:24.121617,Sunday,06:05,7.0,,2022-05-01
12074,12074,2022-05-01 06:05:49.244501,Sunday,06:05,7.0,,2022-05-01
12075,12075,2022-05-01 06:06:14.504776,Sunday,06:06,7.0,,2022-05-01
12076,12076,2022-05-01 06:06:39.612040,Sunday,06:06,7.0,,2022-05-01
12077,12077,2022-05-01 06:07:04.704302,Sunday,06:07,7.0,,2022-05-01
12078,12078,2022-05-01 06:07:29.889681,Sunday,06:07,7.0,,2022-05-01
12079,12079,2022-05-01 06:07:54.996941,Sunday,06:07,7.0,,2022-05-01
12080,12080,2022-05-01 06:08:20.093136,Sunday,06:08,7.0,,2022-05-01
12081,12081,2022-05-01 06:08:45.263120,Sunday,06:08,7.0,,2022-05-01
12082,12082,2022-05-01 06:09:10.379163,Sunday,06:09,7.0,,2022-05-01
12083,12083,2022-05-01 06:09:35.504916,Sunday,06:09,7.0,,2022-05-01
12084,12084,2022-05-01 06:10:00.661918,Sunday,06:10,7.0,,2022-05-01
12085,12085,2022-05-01 06:10:25.784130,Sunday,06:10,7.0,,2022-05-01
12086,12086,2022-05-01 06:10:50.894255,Sunday,06:10,7.0,,2022-05-01
12087,12087,2022-05-01 06:11:16.137088,Sunday,06:11,7.0,,2022-05-01
12088,12088,2022-05-01 06:11:41.247213,Sunday,06:11,7.0,,2022-05-01
12089,12089,2022-05-01 06:12:06.353185,Sunday,06:12,7.0,,2022-05-01
12090,12090,2022-05-01 06:12:31.541468,Sunday,06:12,7.0,,2022-05-01
12091,12091,2022-05-01 06:12:56.682843,Sunday,06:12,7.0,,2022-05-01
12092,12092,2022-05-01 06:13:21.787966,Sunday,06:13,7.0,,2022-05-01
12093,12093,2022-05-01 06:13:46.944946,Sunday,06:13,7.0,,2022-05-01
12094,12094,2022-05-01 06:14:12.020267,Sunday,06:14,7.0,,2022-05-01
12095,12095,2022-05-01 06:14:37.114660,Sunday,06:14,7.0,,2022-05-01
12096,12096,2022-05-01 06:15:02.271553,Sunday,06:15,7.0,,2022-05-01
12097,12097,2022-05-01 06:15:27.387695,Sunday,06:15,7.0,,2022-05-01
12098,12098,2022-05-01 06:15:52.497714,Sunday,06:15,7.0,,2022-05-01
12099,12099,2022-05-01 06:16:17.760453,Sunday,06:16,7.0,,2022-05-01
12100,12100,2022-05-01 06:16:42.886096,Sunday,06:16,7.0,,2022-05-01
12101,12101,2022-05-01 06:17:07.986179,Sunday,06:17,7.0,,2022-05-01
12102,12102,2022-05-01 06:17:33.158699,Sunday,06:17,7.0,,2022-05-01
12103,12103,2022-05-01 06:17:58.268717,Sunday,06:17,7.0,,2022-05-01
12104,12104,2022-05-01 06:18:23.373915,Sunday,06:18,7.0,,2022-05-01
12105,12105,2022-05-01 06:18:48.530789,Sunday,06:18,7.0,,2022-05-01
12106,12106,2022-05-01 06:19:13.649617,Sunday,06:19,7.0,,2022-05-01
12107,12107,2022-05-01 06:19:38.806408,Sunday,06:19,7.0,,2022-05-01
12108,12108,2022-05-01 06:20:03.958957,Sunday,06:20,7.0,,2022-05-01
12109,12109,2022-05-01 06:20:29.053245,Sunday,06:20,7.0,,2022-05-01
12110,12110,2022-05-01 06:20:54.147509,Sunday,06:20,7.0,,2022-05-01
12111,12111,2022-05-01 06:21:19.360109,Sunday,06:21,7.0,,2022-05-01
12112,12112,2022-05-01 06:21:44.470017,Sunday,06:21,7.0,,2022-05-01
12113,12113,2022-05-01 06:22:09.561187,Sunday,06:22,7.0,,2022-05-01
12114,12114,2022-05-01 06:22:34.764883,Sunday,06:22,7.0,,2022-05-01
12115,12115,2022-05-01 06:22:59.859175,Sunday,06:22,7.0,,2022-05-01
12116,12116,2022-05-01 06:23:24.961951,Sunday,06:23,7.0,,2022-05-01
12117,12117,2022-05-01 06:23:50.134342,Sunday,06:23,7.0,,2022-05-01
12118,12118,2022-05-01 06:24:15.241468,Sunday,06:24,7.0,,2022-05-01
12119,12119,2022-05-01 06:24:40.351286,Sunday,06:24,7.0,,2022-05-01
12120,12120,2022-05-01 06:25:05.529049,Sunday,06:25,7.0,,2022-05-01
12121,12121,2022-05-01 06:25:30.638866,Sunday,06:25,7.0,,2022-05-01
12122,12122,2022-05-01 06:25:55.748683,Sunday,06:25,7.0,,2022-05-01
12123,12123,2022-05-01 06:26:21.009342,Sunday,06:26,7.0,,2022-05-01
12124,12124,2022-05-01 06:26:46.134783,Sunday,06:26,7.0,,2022-05-01
12125,12125,2022-05-01 06:27:11.221969,Sunday,06:27,7.0,,2022-05-01
12126,12126,2022-05-01 06:27:36.394287,Sunday,06:27,7.0,,2022-05-01
12127,12127,2022-05-01 06:28:01.519730,Sunday,06:28,7.0,,2022-05-01
12128,12128,2022-05-01 06:28:26.630724,Sunday,06:28,7.0,,2022-05-01
12129,12129,2022-05-01 06:28:51.818635,Sunday,06:28,7.0,,2022-05-01
12130,12130,2022-05-01 06:29:16.924425,Sunday,06:29,7.0,,2022-05-01
12131,12131,2022-05-01 06:29:42.035146,Sunday,06:29,7.0,,2022-05-01
12132,12132,2022-05-01 06:30:07.202616,Sunday,06:30,7.0,,2022-05-01
12133,12133,2022-05-01 06:30:32.327966,Sunday,06:30,7.0,,2022-05-01
12134,12134,2022-05-01 06:30:57.453313,Sunday,06:30,7.0,,2022-05-01
12135,12135,2022-05-01 06:31:22.742075,Sunday,06:31,7.0,,2022-05-01
12136,12136,2022-05-01 06:31:47.867419,Sunday,06:31,7.0,,2022-05-01
12137,12137,2022-05-01 06:32:12.957806,Sunday,06:32,7.0,,2022-05-01
12138,12138,2022-05-01 06:32:38.145683,Sunday,06:32,7.0,,2022-05-01
12139,12139,2022-05-01 06:33:03.245411,Sunday,06:33,7.0,,2022-05-01
12140,12140,2022-05-01 06:33:28.370757,Sunday,06:33,7.0,,2022-05-01
12141,12141,2022-05-01 06:33:53.527319,Sunday,06:33,7.0,,2022-05-01
12142,12142,2022-05-01 06:34:18.650394,Sunday,06:34,7.0,,2022-05-01
12143,12143,2022-05-01 06:34:43.745052,Sunday,06:34,7.0,,2022-05-01
12144,12144,2022-05-01 06:35:08.894594,Sunday,06:35,7.0,,2022-05-01
12145,12145,2022-05-01 06:35:34.019848,Sunday,06:35,7.0,,2022-05-01
12146,12146,2022-05-01 06:35:59.129481,Sunday,06:35,7.0,,2022-05-01
12147,12147,2022-05-01 06:36:24.361105,Sunday,06:36,7.0,,2022-05-01
12148,12148,2022-05-01 06:36:49.470735,Sunday,06:36,7.0,,2022-05-01
12149,12149,2022-05-01 06:37:14.561061,Sunday,06:37,7.0,,2022-05-01
12150,12150,2022-05-01 06:37:39.717572,Sunday,06:37,7.0,,2022-05-01
12151,12151,2022-05-01 06:38:04.822133,Sunday,06:38,7.0,,2022-05-01
12152,12152,2022-05-01 06:38:29.947391,Sunday,06:38,7.0,,2022-05-01
12153,12153,2022-05-01 06:38:55.119485,Sunday,06:38,7.0,,2022-05-01
12154,12154,2022-05-01 06:39:20.224034,Sunday,06:39,7.0,,2022-05-01
12155,12155,2022-05-01 06:39:45.333577,Sunday,06:39,7.0,,2022-05-01
12156,12156,2022-05-01 06:40:10.537858,Sunday,06:40,7.0,,2022-05-01
12157,12157,2022-05-01 06:40:35.647402,Sunday,06:40,7.0,,2022-05-01
12158,12158,2022-05-01 06:41:00.756946,Sunday,06:41,7.0,,2022-05-01
12159,12159,2022-05-01 06:41:26.012903,Sunday,06:41,7.0,,2022-05-01
12160,12160,2022-05-01 06:41:51.138071,Sunday,06:41,7.0,,2022-05-01
12161,12161,2022-05-01 06:42:16.246471,Sunday,06:42,7.0,,2022-05-01
12162,12162,2022-05-01 06:42:41.434136,Sunday,06:42,7.0,,2022-05-01
12163,12163,2022-05-01 06:43:06.523337,Sunday,06:43,7.0,,2022-05-01
12164,12164,2022-05-01 06:43:31.648503,Sunday,06:43,7.0,,2022-05-01
12165,12165,2022-05-01 06:43:56.804879,Sunday,06:43,7.0,,2022-05-01
12166,12166,2022-05-01 06:44:21.926828,Sunday,06:44,7.0,,2022-05-01
