,Unnamed: 0,time,Day,Hour,Price,ERR,Date
18932,18932,2022-05-03 06:00:01.154979,Tuesday,06:00,7.0,,2022-05-03
18933,18933,2022-05-03 06:00:26.329587,Tuesday,06:00,7.0,,2022-05-03
18934,18934,2022-05-03 06:00:51.484666,Tuesday,06:00,7.0,,2022-05-03
18935,18935,2022-05-03 06:01:16.624420,Tuesday,06:01,7.0,,2022-05-03
18936,18936,2022-05-03 06:01:41.826371,Tuesday,06:01,7.0,,2022-05-03
18937,18937,2022-05-03 06:02:06.953580,Tuesday,06:02,7.0,,2022-05-03
18938,18938,2022-05-03 06:02:32.047155,Tuesday,06:02,7.0,,2022-05-03
18939,18939,2022-05-03 06:02:57.280353,Tuesday,06:02,7.0,,2022-05-03
18940,18940,2022-05-03 06:03:22.421237,Tuesday,06:03,7.0,,2022-05-03
18941,18941,2022-05-03 06:03:47.529443,Tuesday,06:03,7.0,,2022-05-03
18942,18942,2022-05-03 06:04:12.719180,Tuesday,06:04,7.0,,2022-05-03
18943,18943,2022-05-03 06:04:37.811773,Tuesday,06:04,7.0,,2022-05-03
18944,18944,2022-05-03 06:05:02.919943,Tuesday,06:05,7.0,,2022-05-03
18945,18945,2022-05-03 06:05:28.118657,Tuesday,06:05,7.0,,2022-05-03
18946,18946,2022-05-03 06:05:53.304950,Tuesday,06:05,7.0,,2022-05-03
18947,18947,2022-05-03 06:06:18.413593,Tuesday,06:06,7.0,,2022-05-03
18948,18948,2022-05-03 06:06:43.615510,Tuesday,06:06,7.0,,2022-05-03
18949,18949,2022-05-03 06:07:08.724253,Tuesday,06:07,7.0,,2022-05-03
18950,18950,2022-05-03 06:07:33.832422,Tuesday,06:07,7.0,,2022-05-03
18951,18951,2022-05-03 06:07:59.034338,Tuesday,06:07,7.0,,2022-05-03
18952,18952,2022-05-03 06:08:24.132311,Tuesday,06:08,7.0,,2022-05-03
18953,18953,2022-05-03 06:08:49.224861,Tuesday,06:08,7.0,,2022-05-03
18954,18954,2022-05-03 06:09:14.413609,Tuesday,06:09,7.0,,2022-05-03
18955,18955,2022-05-03 06:09:39.506136,Tuesday,06:09,7.0,,2022-05-03
18956,18956,2022-05-03 06:10:04.614274,Tuesday,06:10,7.0,,2022-05-03
18957,18957,2022-05-03 06:10:29.818059,Tuesday,06:10,7.0,,2022-05-03
18958,18958,2022-05-03 06:10:54.988695,Tuesday,06:10,7.0,,2022-05-03
18959,18959,2022-05-03 06:11:20.110637,Tuesday,06:11,7.0,,2022-05-03
18960,18960,2022-05-03 06:11:45.343767,Tuesday,06:11,7.0,,2022-05-03
